Market,LoadFactor,FlightCount,Bookings,Revenue,AvgFare,RASM,RpS,Slope,Lat1,Lon1,Lat2,Lon2,Distance,cluster_Geo,cluster_Slope,cluster_Dist
BDSVCE,0.981048958,612,113578,6163339.772,54.2652,0.075513301,53.23687741,-0.00988179,45.5067,12.3478,40.65805,17.94667,705,6,1,1
BODOPO,0.910020194,506,87422,3369461.328,38.5424,0.046150581,35.07444182,-0.00829125,44.82944,-0.7144445,41.23806,-8.674723,760,5,5,8
DUBVLC,0.954423061,583,105982,7814295.928,73.7322,0.043654964,70.37180127,-0.006741508,53.4325,-6.252222,39.48861,-0.4819444,1612,20,2,7
IBZPSA,0.906056881,308,54541,3551472.842,65.1156,0.063851175,58.99848565,-0.006520268,43.6806,10.3928,38.87361,1.372778,924,15,2,8
VIEWAW,0.950137141,362,63739,2480108.123,38.9103,0.067218524,36.97018846,-0.008752912,52.1667,20.9667,48.1111,16.5583,550,10,5,1
ALCBFS,0.922241354,288,50347,4372976.074,86.8567,0.042812867,80.10287358,-0.003313676,54.6542,-6.225,38.2825,-0.5583333,1871,20,4,9
TLLVIE,1.002108315,334,60840,3534945.536,58.1023,0.042562006,58.22482434,-0.009230773,59.41667,24.81667,48.1111,16.5583,1368,8,5,2
FMMOPO,0.96778277,296,54281,4417703.903,81.3858,0.047163951,78.76379801,-0.005204028,47.9886,10.2394,41.23806,-8.674723,1670,1,4,7
CGNRIX,1.002357976,121,22955,1548430.033,67.455,0.052171358,67.61407942,-0.00666916,57.01667,24.05,50.86583,7.141944,1296,8,2,2
CPHVIE,0.975795677,740,131467,6086553.538,46.2971,0.051571466,45.17660425,-0.010186965,55.6081,12.6333,48.1111,16.5583,876,10,1,8
ALCOPO,0.93952489,428,77834,3889511.327,49.9718,0.061132585,46.94982529,-0.008456265,41.23806,-8.674723,38.2825,-0.5583333,768,12,5,8
BODFEZ,0.91646964,392,68222,3657743.916,53.6153,0.038812644,49.13680704,-0.009785337,44.82944,-0.7144445,33.92889,-4.9775,1266,12,1,2
BODRBA,0.986337543,46,8591,415039.9547,48.311,0.036486195,47.65097069,-0.012042987,44.82944,-0.7144445,34.05,-6.7569,1306,12,1,2
