DaysLeft,DepartureDate,Cap,Bk,Rv,LAF,CapPY,BkPY,RvPY,LAFPY,Overview,WorkSheet,BusRules,Flags,IC,AuSends,Other
0,2021-01-22,189,184,8207.4618,5,189,180,8335.84,4,,,,,,,
1,2021-01-22,189,183,7883.2817,5,189,177,7968.62,7,,,,,,,
2,2021-01-22,189,182,7274.0916,6,189,176,7865.88,8,,,,,,,
3,2021-01-22,189,182,7274.0916,4,189,175,7763.14,8,,,,,,,
4,2021-01-22,189,181,6254.68,5,189,173,7557.66,7,,,,,,,
5,2021-01-22,189,180,5970.07,5,189,171,7333.18,8,,,,,,,
6,2021-01-22,189,177,5701.85,6,189,169,7127.7,8,,,,,,,
7,2021-01-22,189,171,4913.41,8,189,169,7127.7,7,,,,,,,
8,2021-01-22,189,168,4437.32,9,189,169,7127.7,7,,,,,,,
9,2021-01-22,189,157,3738.58,12,189,168,7024.96,8,,,,,,,
10,2021-01-22,189,143,2973.22,13,189,167,6922.22,8,,,,,,,
11,2021-01-22,189,143,2973.22,11,189,166,6819.48,8,,,,,,,
12,2021-01-22,189,139,2742.18,11,189,164,6642,9,,,,,,,
13,2021-01-22,189,125,1952.32,13,189,160,6326.04,10,,,,,,,
14,2021-01-22,189,125,1952.32,13,189,160,6326.04,10,OVERWCLS : KCONNELL,,,,LIDOPT : IC,WRITE : RMSTEST,
15,2021-01-22,189,124,1906.58,13,189,157,6128.82,11,,,,,,WRITE : RMSTEST,
16,2021-01-22,189,112,1572.44,14,189,142,5164.72,12,,,,,,,
17,2021-01-22,189,104,1437.48,14,189,140,5055.24,12,OVERWCLS : KCONNELL,,,,,WRITE : RMSTEST,
18,2021-01-22,189,102,1432.61,14,189,139,5000.5,12,OVERWCLS : KCONNELL,,,,,WRITE : RMSTEST,
19,2021-01-22,189,102,1432.61,14,189,139,5000.5,12,,,,,,,
20,2021-01-22,189,101,1394.87,14,189,137,4862.72,12,OVERWCLS : ADMIN2,,,,,WRITE : RMSTEST,
21,2021-01-22,189,101,1394.87,14,189,135,4753.24,12,,,,,,,
22,2021-01-22,189,102,1382.74,14,189,135,4753.24,11,,,,,,,
23,2021-01-22,189,90,1261.6,15,189,134,4687.5,11,,,,,,,
24,2021-01-22,189,84,1209.16,15,189,134,4687.5,11,,,,,,,
25,2021-01-22,189,77,1147.98,15,189,133,4621.76,11,,,,,,,
26,2021-01-22,189,70,1086.8,15,189,133,4621.76,11,,,,,,,
27,2021-01-22,189,69,1078.06,15,189,133,4621.76,11,,,,,,,
28,2021-01-22,189,66,1051.84,15,189,133,4621.76,11,,,,,,,
29,2021-01-22,189,66,1051.84,13,189,127,4249.32,12,,,,,,,
30,2021-01-22,189,62,978.06,14,189,127,4249.32,12,OVERWCLS : KCONNELL,,,,,WRITE : RMSTEST,
31,2021-01-22,189,59,927.45,14,189,127,4249.32,12,OVERWCLS : KCONNELL,,,,,WRITE : RMSTEST,
32,2021-01-22,189,58,910.58,14,189,126,4194.58,12,OVERWCLS : KCONNELL,,,,,WRITE : RMSTEST,
33,2021-01-22,189,53,842.49,15,189,124,4085.1,12,,,,,,,
34,2021-01-22,189,51,825.01,15,189,124,4085.1,12,,,,,,,
35,2021-01-22,189,48,798.79,15,189,124,4085.1,12,,,,,,,
36,2021-01-22,189,45,772.57,15,189,119,3838.4,13,,,,,,,
37,2021-01-22,189,45,772.57,15,189,119,3838.4,13,OVERWCLS : KCONNELL,,,,,WRITE : RMSTEST,
38,2021-01-22,189,41,737.61,15,189,118,3792.66,12,OVERWCLS : KCONNELL,,,,,WRITE : RMSTEST,
39,2021-01-22,189,42,829.35,15,189,118,3792.66,11,,,,,,,
40,2021-01-22,189,32,731.95,15,189,118,3792.66,11,,,,,,,
41,2021-01-22,189,28,696.99,15,189,118,3792.66,11,,,,,,,
42,2021-01-22,189,19,477.07,15,189,118,3792.66,11,,,,,,,
43,2021-01-22,189,18,468.33,15,189,118,3792.66,11,,,,,,,
44,2021-01-22,189,16,450.85,15,189,108,3363.46,11,,,,,,,
45,2021-01-22,189,15,442.11,15,189,108,3363.46,11,,,,,,,
46,2021-01-22,189,15,442.11,15,189,106,3261.9,11,OVERWCLS : SHURLEY,,,,,WRITE : RMSTEST,
47,2021-01-22,189,15,442.11,15,189,105,3214.11,11,,,,,,,
48,2021-01-22,189,14,433.37,15,189,105,3214.11,11,,,,,,,
49,2021-01-22,189,13,424.63,15,189,105,3214.11,11,,,,,,,
50,2021-01-22,189,13,424.63,15,189,104,3163.33,11,,,,,STNDOPT : IC,WRITE : RMSTEST,
51,2021-01-22,189,12,397.64,15,189,98,2909.63,12,,,,,,,
52,2021-01-22,189,12,397.64,15,189,96,2818.29,12,,,,,,,
53,2021-01-22,189,10,343.66,15,189,92,2677.0801,13,,,,,,,
54,2021-01-22,189,12,411.14,15,189,90,2618.64,13,,,,,,,
55,2021-01-22,189,12,411.14,15,189,87,2530.98,13,,,,,,,
56,2021-01-22,189,10,377.4,15,189,84,2443.32,15,,,,,,,
57,2021-01-22,189,10,377.4,15,189,84,2443.32,15,OVERWCLS : SHURLEY,,,,,WRITE : RMSTEST,
58,2021-01-22,189,11,411.14,15,189,76,2301.4,15,,,,,,,
59,2021-01-22,189,10,377.4,15,189,76,2301.4,15,,,,,,,
60,2021-01-22,189,10,377.4,15,189,76,2301.4,15,,,,,,,
61,2021-01-22,189,8,309.92,15,189,74,2265.92,15,,,,,,,
