type,name,coordinates,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,iata_code
large_airport,Honiara International  ,-9.428,160.054993,28,OC,SB,SB-CT,Honiara,HIR
large_airport,Port Moresby Jacksons International  ,-9.443380356,147.2200012,146,OC,PG,PG-NCD,Port Moresby,POM
large_airport,Keflavik International  ,63.985001,-22.6056,171,EU,IS,IS-2,Reykjavík,KEF
large_airport,Priština Adem Jashari International  ,42.5728,21.035801,1789,EU,XK,XK-01,Prishtina,PRN
large_airport,Guodu Air Base,36.001741,117.63201,,AS,CN,CN-37,"Xintai, Tai'an",
large_airport,Edmonton International  ,53.30970001,-113.5800018,2373,NA,CA,CA-AB,Edmonton,YEG
large_airport,Halifax / Stanfield International  ,44.88079834,-63.50859833,477,NA,CA,CA-NS,Halifax,YHZ
large_airport,Ottawa Macdonald-Cartier International  ,45.32249832,-75.66919708,374,NA,CA,CA-ON,Ottawa,YOW
large_airport,Montreal / Pierre Elliott Trudeau International  ,45.47060013,-73.74079895,118,NA,CA,CA-QC,Montréal,YUL
large_airport,Vancouver International  ,49.19390106,-123.1839981,14,NA,CA,CA-BC,Vancouver,YVR
large_airport,Winnipeg / James Armstrong Richardson International  ,49.90999985,-97.23989868,783,NA,CA,CA-MB,Winnipeg,YWG
large_airport,Whitehorse / Erik Nielsen International  ,60.709599,-135.067001,2317,NA,CA,CA-YT,Whitehorse,YXY
large_airport,Calgary International  ,51.11389923,-114.0199966,3557,NA,CA,CA-AB,Calgary,YYC
large_airport,Victoria International  ,48.64690018,-123.4260025,63,NA,CA,CA-BC,Victoria,YYJ
large_airport,St. John's International  ,47.61859894,-52.75189972,461,NA,CA,CA-NL,St. John's,YYT
large_airport,Lester B. Pearson International  ,43.67720032,-79.63059998,569,NA,CA,CA-ON,Toronto,YYZ
large_airport,Soummam – Abane Ramdane  ,36.712793,5.07857,20,AF,DZ,DZ-06,Béjaïa,BJA
large_airport,Houari Boumediene  ,36.691002,3.21541,82,AF,DZ,DZ-16,Algiers,ALG
large_airport,Ouagadougou  ,12.3532,-1.51242,1037,AF,BF,BF-KAD,Ouagadougou,OUA
large_airport,Kotoka International  ,5.6051898,-0.166786,205,AF,GH,GH-AA,Accra,ACC
large_airport,Nnamdi Azikiwe International  ,9.006790161,7.263169765,1123,AF,NG,NG-FC,Abuja,ABV
large_airport,Akwa Ibom International  ,4.8725,8.093,170,AF,NG,NG-AK,Uyo,QUO
large_airport,Mallam Aminu International  ,12.0476,8.52462,1562,AF,NG,NG-KN,Kano,KAN
large_airport,Murtala Muhammed International  ,6.577370167,3.321160078,135,AF,NG,NG-LA,Lagos,LOS
large_airport,Diori Hamani International  ,13.4815,2.18361,732,AF,NE,NE-8,Niamey,NIM
large_airport,Tunis Carthage International  ,36.85100174,10.22719955,22,AF,TN,TN-11,Tunis,TUN
large_airport,Brussels  ,50.90140152,4.48443985,184,EU,BE,BE-BRU,Brussels,BRU
large_airport,Brussels South Charleroi  ,50.459202,4.45382,614,EU,BE,BE-WHT,Brussels,CRL
large_airport,Liège  ,50.63740158,5.443220139,659,EU,BE,BE-WLG,Liège,LGG
large_airport,Berlin Brandenburg  ,52.351389,13.493889,157,EU,DE,DE-BR,Berlin,BER
large_airport,Dresden  ,51.13280106,13.76720047,755,EU,DE,DE-SN,Dresden,DRS
